"","preferd volume","jak-nife SE of volume","flexibility","jak-nife SE of flexibility","p-value"
"1272",236.22,302.69,190.5,249.37,0.6
"1273",118.44,20.74,151.09,81.29,0.36
"1274",117.97,52.29,129.28,63.41,0.16
"1275",123.76,18.23,129.19,58.43,0.19
"1276",117.73,21.29,125.54,77.08,0.23
"1277",120.14,12.35,106.27,29.75,0.03
"1278",118.41,44.68,130.71,58.92,0.15
"1279",121.21,8.2,102.69,53.81,0.03
"1281",121.86,8.01,88.45,42.45,0
"1282",119.22,24.03,134.7,56.6,0.15
"1283",123.03,15.7,116.29,45.28,0.14
"1284",118.72,28.94,140.08,43.82,0.21
"1285",113.89,24.73,148.56,90.54,0.31
"1286",125.77,15.43,111.83,39.18,0.09
"1287",293.73,938.45,229.8,482.04,0.5
"1288",124.16,8.61,100.11,39.38,0.01
"1289",119.57,12.65,107.22,79.37,0.03
"1291",124.31,15.99,136.75,42.27,0.21
"1292",124.87,14.64,110.45,41.74,0.14
"1293",124.93,13.29,127.18,74.42,0.18
"1294",122.5,17.32,121.15,41.25,0.14
"1295",117.72,17.01,120.36,75.01,0.18
"1296",119.81,12.93,130.45,49.59,0.16
"1297",125.37,8.66,108.91,57.09,0.02
"1298",105.89,85.78,219.34,127.31,0.53
"1299",125.72,7.83,113.42,42.94,0.05
"1300",129.31,33.38,117.15,85.42,0.12
"1302",125.46,19.94,121.86,208.35,0.19
"1304",124.83,51.21,120.87,292.08,0.13
"1305",122.74,11.82,105.09,59.28,0.08
"1306",122.99,59.58,121.45,221.12,0.1
"1307",114.83,89.28,135.71,138.02,0.17
"1309",126.68,14.72,135.76,69.45,0.17
"1310",131.71,24.06,130.93,110.29,0.13
"1311",123.45,19.18,130.4,57.62,0.21
"1312",126.9,12.95,113.76,69.76,0.07
"1313",124.95,24.51,122.61,168.13,0.16
"1314",127.88,11.83,108.35,53.53,0.03
"1315",127.02,14.25,112.53,89.92,0.06
"1316",110.87,59.06,137.88,54.32,0.19
